4,35,3,11,0.402182,0.068950
4,38,3,12,0.429980,0.082642
3,41,3,13,0.630532,0.243444
4,44,3,14,0.588015,0.188064
5,47,3,15,0.315338,0.054453
4,50,3,16,0.540157,0.125962
5,53,3,17,0.443819,0.183030
5,56,3,18,0.719318,0.224952
5,59,3,19,0.600576,0.316278
5,62,3,20,0.910859,0.281228
5,65,3,21,0.853386,0.318517
5,68,3,22,1.040891,0.224525
5,72,4,23,0.781834,0.269011
5,75,3,24,1.234255,0.362349
6,78,3,25,0.645634,0.190625
5,81,3,26,0.508345,0.121747
6,84,3,27,0.428700,0.125106
6,87,3,28,0.376270,0.151712
5,91,4,29,0.567615,0.225795
6,94,3,30,0.352500,0.092094
7,97,3,31,0.428951,0.115275
6,100,3,32,0.571602,0.119286
7,103,3,33,0.663500,0.285493
7,106,3,34,0.937978,0.186981
6,109,3,35,0.603174,0.238343
7,113,4,36,0.744553,0.227325
8,116,3,37,0.423542,0.102027
8,119,3,38,0.344525,0.120731
8,122,3,39,0.612178,0.272432
8,125,3,40,0.702281,0.126438
8,128,3,41,0.653423,0.249041
7,131,3,42,0.592310,0.109160
9,134,3,43,0.497394,0.113585
9,137,3,44,0.440480,0.226648
8,140,3,45,0.944592,0.375038
8,143,3,46,0.600660,0.246344
9,146,3,47,0.467215,0.128559
9,149,3,49,0.900641,0.328269
9,152,3,50,0.889560,0.196593
8,155,3,52,1.374258,0.550136
9,158,3,53,2.243151,0.453558
9,161,3,55,2.212253,0.326280
10,164,3,56,1.042333,0.350627
10,167,3,59,1.451142,0.353910
10,170,3,62,1.914217,0.184230
10,173,3,67,1.909289,0.165923
10,176,3,68,2.176030,0.200825
10,179,3,70,2.526226,0.188844
10,182,3,72,2.532673,0.216111
2,3,3,1,2.938433,0.687266
4,6,3,2,0.454174,0.085790
5,9,3,3,0.439070,0.078944
5,12,3,4,0.475136,0.071005
6,15,3,5,0.466728,0.061686
7,18,3,6,0.441031,0.116529
8,21,3,7,0.345764,0.107229
8,24,3,8,0.490817,0.102556
8,27,3,9,0.340921,0.102899
7,30,3,10,0.604715,0.110632
9,33,3,11,0.613097,0.163985
11,36,3,12,0.538593,0.127441
10,39,3,13,0.606681,0.186755
10,42,3,14,0.585247,0.194293
11,45,3,15,0.805418,0.191238
11,48,3,16,0.421644,0.049412
12,51,3,17,0.473000,0.230707
12,54,3,18,0.562781,0.127931
11,57,3,19,0.494829,0.153114
13,60,3,20,0.471257,0.119139
13,63,3,21,0.443790,0.096586
13,66,3,22,0.852875,0.459613
13,69,3,23,0.450379,0.166650
13,72,3,24,0.710348,0.439076
13,75,3,25,0.678269,0.183364
15,78,3,26,0.341318,0.106580
16,81,3,27,0.621177,0.120244
